四字熟語,読み,意味,漢検配当級
鳥尽弓蔵,ちょうじんきゅうぞう,重要な地位を任されていた人も、目的が果たされた後には捨てられるということのたとえ。 全ての鳥を捕り尽くして鳥がいなくなれば、弓はしまわれるという意味から。 古代中国の漢の劉邦の家臣だった韓信の故事と、春秋時代の越の勾践の家臣だった范蠡の故事から。 「鳥尽きて弓蔵めらる」とも読む。,4級
朝生暮死,ちょうせいぼし,命が短いこと。 虫の蜉蝣などの成虫は寿命が一日しかなく、それらのことを言った言葉で、朝に生まれて、夜には死ぬということから、人生の儚さをいう言葉。 「朝に生まれ暮れに死す」とも読む。,4級
朝朝暮暮,ちょうちょうぼぼ,毎朝毎晩。 「朝朝」は毎朝。 「暮暮」は毎晩。,4級
長目飛耳,ちょうもくひじ,すぐれた情報収集能力と、深く鋭く判断する能力があること。 「長目」は遠くまで見通せる目。 「飛耳」は遠くの音をよく聞くことができる耳。,4級
朝令暮改,ちょうれいぼかい,命令、制令、法律などがたびたび変更され、しっかりと定まらないこと。 朝に出された命令や法律が、夕方には変わってしまうという意味から。 「朝に令して暮に改たむ」とも読む。,4級
沈思黙考,ちんしもっこう,静かに落ち着いて深く物事を考えること。 「沈思」は深く物事を考えること。 「黙考」は静かに物事を考えること。,4級
沈博絶麗,ちんぱくぜつれい,文章などの表現が美しく、広く深い意味が込められていること。 「沈」は深い、「博」は広い、「絶」は非常にすぐれていること、「麗」は美しいという意味。 すぐれた文章を言い表す言葉。,4級
提耳面命,ていじめんめい,細かいところまで行き届いた丁寧な説明をして、理解できるように説き聞かせること。 「提耳」は耳を引いて寄せること。 「面命」は向かい合って説き聞かせること。,4級
低頭傾首,ていとうけいしゅ,頭を低くして身を慎むこと。 「低頭」と「傾首」はどちらも首をたれるという意味。 「頭を低れて首を傾をく」とも読む。を低を傾,4級
滴水成氷,てきすいせいひょう,冬の猛烈な寒さのこと。 または、極寒の地のこと。 滴る水がすぐに氷になるという意味から。 「滴水氷を成す」とも読む。,4級
天香国色,てんこうこくしょく,植物の牡丹の別名。 または、美人を言い表す言葉。 「天香」はこの世のものとは思えないほどのよい香りのこと。 「国色」は国の中にあるものの中で最も美しい色のこと。または、国の中で最も美しい人のこと。,4級
天地玄黄,てんちげんこう,天は黒く、地は黄色いということ。 「玄」は色が黒いということ。 漢字を正しく書く練習に使われる『千字文』の第一句。,4級
電光影裏,でんこうえいり,人の一生は短く儚いものだが、悟りを得た者の魂は滅びることなく、永久に存在するということのたとえ。 中国の宋の僧の祖元が元の兵に襲われたときに唱えたとされる、「電光影裏、春風を切る」という経文の一句を略した言葉。 命は落としても魂は消えることはないということをたとえた言葉で、春風を鋭く光る稲妻で切り裂いたとしても、春風は何の影響もなく、いつもどおり吹くという意味から。,4級
電光朝露,でんこうちょうろ,非常に短い時間のたとえ。 または、人の一生が儚いことのたとえ。 「電光」は稲光。 「朝露」は植物の葉に宿る朝の露のこと。 「電光」と「朝露」はどちらもあっという間に消えるという意味から。,4級
当意即妙,とういそくみょう,機転をきかせて、その場で適切に対応すること。 「当意」は工夫して適切な対応をすること。 「即妙」はすぐに思いつくことで、機転のこと。,4級
桃園結義,とうえんけつぎ,後漢末期に、張飛の家の庭にある桃園で「劉備」「関羽」「張飛」の三人が義兄弟の約束を交わした逸話から、義兄弟の契りを結ぶこと。,4級
刀光剣影,とうこうけんえい,状況が切迫していて、いつ戦いが起こってもおかしくない殺気立った雰囲気のこと。 刀が光って剣の影がちらりと見えるという意味から。,4級
刀山剣樹,とうざんけんじゅ,思いやりが一切無いむごたらしい刑罰。または、酷く危険な境遇。 「刀山」は刀の刃が上を向いた状態で、無数に立てられている山。 「剣樹」は葉や枝、花、実の全てが剣で出来ている樹。 刀山を歩かされたり、剣樹を登らされては落とされるという地獄で行われている刑罰のことから。,4級
頭髪上指,とうはつじょうし,激しく怒り、髪の毛が逆立つこと。 「上指」は上の方向を示すこと。 古代中国の秦の時代にあった鴻門の会で、樊カイが激怒して項羽を睨みつけたという故事から。,4級
得意忘形,とくいぼうけい,芸術などで、精神や本質を大切にして、外形のことを忘れること。 または、気分が舞い上がって、我を忘れること。 「意を得て形を忘る」とも読む。,4級
